Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,41,1,3,12,2783,0,0,581232,529693
2,41,1,3,23,1754,-0.7818696435503096,0,786416,705465
3,41,1,3,5,1526,0.9543300090007971,0,583459,199702
4,41,1,3,14,1586,0,0,200700,564237
5,41,1,3,13,1512,2.6281287246722282,0,767136,569795
6,41,1,3,15,1134,0.8065533895543915,0,768236,539999
7,41,1,3,20,3078,-4.3940626681462795,0,817632,846493
8,41,1,3,19,1763,0,0,707834,845632
9,41,1,3,18,1789,-1.2038140643623358,0,817923,579673
10,41,1,3,25,1450,1.460441856313004,0,580880,786065
11,41,1,3,8,1808,-1.6567342073897497,0,800700,817632
12,41,1,3,10,3600,-3.3895920367680015,0,792429,202575
13,41,1,3,21,9399,0.46297128265807574,0,785752,768867
14,41,1,3,24,3584,0.8203936791258165,0,200223,580597
15,41,1,3,16,11782,-3.375,0,545553,792140
16,41,1,3,22,2175,0.22183704020973066,0,570492,579988
17,41,1,3,6,929,0,0,798112,579103
18,41,1,3,2,1417,1.6600000000000001,0,203089,817923
19,41,1,3,17,1166,-2.1,0,797697,203609
20,41,1,3,11,946,1.5199999999999996,0,545553,792046
21,41,1,3,7,1184,-0.02,0,579048,707834
22,41,1,3,9,1281,0,0,200223,819475
23,41,1,3,4,1135,0,0,544318,581169
24,41,1,3,3,2737,2.073897497020262,0,799796,791698
25,41,1,3,1,4019,0.7750000000000004,0,817923,539336
26,41,2,1,23,5603,-0.904644143714538,0,786416,202131
27,41,2,1,24,14591,0,0,200223,200223
28,41,2,1,8,3480,-9.022646007151371,0,800700,784093
29,41,2,1,14,5912,0.019999999999999574,0,564237,199958
30,41,2,1,12,6511,3.2199999999999998,0,529693,540939
31,41,2,1,19,4827,0,0,707834,707834
32,41,2,1,20,5101,-1.605974129729772,0,817632,789990
33,41,2,1,16,3488,-1.75,0,784093,847668
34,41,2,1,5,1744,1.2499662253484303,0,583459,799783
35,41,2,1,2,2353,0,0,568122,568122
36,41,2,1,18,5976,-0.47675804529201393,0,817923,774978
37,41,2,1,6,2410,-0.25,0,773752,776987
38,41,2,1,11,4175,1.5199999999999996,0,545553,794927
39,41,2,1,10,3169,-0.9050794648325128,0,792429,784595
40,41,2,1,21,6183,-0.038564958283670944,0,785752,790137
41,41,2,1,4,1934,0,0,785031,785031
42,41,2,1,22,16333,2.331795529220744,0,570492,544318
43,41,2,1,15,6824,0,0,786978,786978
44,41,2,1,17,1863,0,0,799783,799783
45,41,2,1,25,5439,1.1546281673500922,0,580880,199702
46,41,2,1,3,3861,0.5303933253873669,0,799796,800784
47,41,2,1,13,4976,0.4529201430274128,0,767136,798112
48,41,2,1,1,10792,3.75,0,817923,581050
49,41,2,1,9,1799,0,0,791286,768236
50,41,2,1,7,1775,-0.08,0,772665,786416
51,41,3,2,7,1314,-1.1600000000000001,0,539336,791698
52,41,3,2,1,2201,2.75,0,817923,200223
53,41,3,2,23,6731,0.19739463704809487,0,786416,819475
54,41,3,2,5,1081,1.1797341958555467,0,583459,200700
55,41,3,2,11,2134,1.5199999999999996,0,545553,794927
56,41,3,2,14,2446,0.019999999999999574,0,571634,199958
57,41,3,2,16,2416,-3.375,0,784093,792140
58,41,3,2,24,3111,0.616786299144918,0,200223,197864
59,41,3,2,8,1217,-1.865315852205006,0,800700,196665
60,41,3,2,20,1225,-1.605974129729772,0,817632,789990
61,41,3,2,21,1827,0.4209140047565004,0,785752,785434
62,41,3,2,2,1988,0,0,568122,568122
63,41,3,2,18,2659,-0.4588796185935635,0,817923,579585
64,41,3,2,6,1332,-1.25,0,539679,817632
65,41,3,2,4,1356,0,0,580690,776783
66,41,3,2,9,1070,-0.37,0,203089,579103
67,41,3,2,12,5363,3.120000000000001,0,581232,188056
68,41,3,2,19,3352,0,0,845632,800711
69,41,3,2,15,3203,0.6384746562517467,0,768236,785434
70,41,3,2,3,1907,0.6912991656734206,0,799796,192622
71,41,3,2,25,3133,0.10183645948731801,0,580880,797697
72,41,3,2,22,4476,0,0,570492,570492
73,41,3,2,17,1883,-2.22,0,579048,535895
74,41,3,2,10,1017,-0.680329474195341,0,767136,852853
75,41,3,2,13,1668,1.3170441001191886,0,767136,191897